id,feature,final_status,decision_change,confidence,accepted_behavior,reference_parity_or_difference,subrequirements,roadmap_slices,external_or_release_condition
1,"Bootstrap and splash",ACCEPTED,refined,high,"Deterministic typed startup with local safe defaults and no remote-bricked launch","Parity for startup outcome; independent routing and UI","SR-07 route matrix","P3-01|P3-14|P3-16","Final production identity and splash before release"
2,Onboarding,INTENTIONALLY_DIFFERENT,materially_changed,high,"No marketing carousel; conditional minimal market or language setup only if P3-00 proves inference insufficient","Intentional difference from persisted reference onboarding","Market and language inference rule","P3-00|P3-01","P3-00 evidence before any setup flow"
3,Home,ACCEPTED,refined,high,"Independently designed merchant-backed Home","Behavioral parity for a commerce entry surface; no layout or brand copying","P3-00 layout and content readiness","P3-00|P3-01","Merchant content and owned or neutral assets"
4,Categories,ACCEPTED,confirmed,high,"Shopify-backed category or collection browse with typed routes","Accepted behavioral parity; independent IA and implementation","Taxonomy and market mapping","P3-00|P3-02","Merchant taxonomy and market visibility"
5,"Product listing",ACCEPTED,refined,high,"Cursor pagination with only supported filter and sort controls","Accepted behavioral parity; current schema governs details","Price inventory and cache policy","P3-02|P3-15","Current schema and merchant filter rules"
6,"Search and history",INTENTIONALLY_DIFFERENT,refined,medium_high,"Debounced search with local bounded clearable history","Search parity; intentional local retention boundary","SR-08; provisional last 10 unique queries for 30 days","P3-03|P3-15","P3-00 privacy and content approval of default"
7,"Product detail",ACCEPTED,refined,high,"Explicit valid variant selection with safe media content and cart handoff","Accepted capability parity; independent UI and schema models","Media related-source and inventory states","P3-04|P3-15","Current product schema and content rules"
8,Wishlist,INTENTIONALLY_DIFFERENT,confirmed_and_reordered,high,"Local-only account-independent wishlist with future sync extension point","Intentional difference from unverified remote sync","SR-08; Room migration","P3-05|P3-15","No cross-device sync promise"
9,Cart,ACCEPTED,materially_refined,high,"Complete cart with Anonymous CustomerAssociated DetachPending and Quarantined ownership","Accepted capability parity; independent state machine; Worker semantics unknown","SR-01|SR-02; migration and market rules","P3-06|P3-07|P3-09|P3-15","Buyer identity and cart-note policy approved"
10,Checkout,ACCEPTED,confirmed,high,"Official Checkout Kit through existing adapter with exact completion cancellation and failure handling","Accepted user-capability parity; official SDK contract governs","Cart refresh and checkout URL policy","P3-07|P3-15|P3-16","Production Shopify payment and release configuration"
11,"Login and session",INTENTIONALLY_DIFFERENT,refined,high,"Current Customer Account OAuth PKCE and hosted passwordless journey","Intentional difference from legacy credential UI","SR-05|SR-07; field and scope allowlist","P3-08|P3-09|P3-15","Legal support baseline before UI; production callback later"
12,"Registration and verification",INTENTIONALLY_DIFFERENT,confirmed,high,"Shopify-hosted journey with app return cancellation help and recovery states","Intentional difference from legacy in-app flow","SR-05|SR-07","P3-08|P3-09|P3-15","Owned-environment content observation when required"
13,"Password recovery and update",NOT_APPLICABLE,materially_changed,high,"No legacy password feature; sign-in help and restart remain under account access","Reference password behavior intentionally excluded under current passwordless model","SR-05","P3-09","Revisit only if official account model changes"
14,Profile,ACCEPTED,refined,high,"Approved current profile fields only; no purpose-less birthdate or metafield","Profile parity limited by approved purpose and current schema","SR-03","P3-10|P3-15","Purpose privacy and schema approval for added fields"
15,Addresses,ACCEPTED,refined,high,"Customer-scoped CRUD with market-aware validation and strict PII handling","Accepted capability parity; independent validation and UI","Address policy and clear-delete behavior","P3-11|P3-15","Supported country and address inputs"
16,Orders,ACCEPTED,refined,high,"Private history and detail plus fulfillment and cargo tracking","Accepted capability parity with explicit tracking subitem","SR-04","P3-12|P3-15","Status vocabulary and carrier URL policy"
17,"Account deletion",EXTERNALLY_BLOCKED,confirmed,high,"Functional owned request path only; no false local-only deletion claim","User capability retained but reference Worker implementation excluded","SR-08; re-auth retention and support","P3-13|P3-16","Owned process resource operator and legal policy"
18,"Agreements pages and permissions",EXTERNALLY_BLOCKED,confirmed_and_reordered,high,"Real owned legal and support pages plus contextual permissions","Capability retained; reference content branding and URLs excluded","SR-06","P3-00|P3-08|P3-16","Legal support corpus owner and canonical routes"
19,"Web content",INTENTIONALLY_DIFFERENT,refined,high,"Allowlisted Custom Tabs or browser with no generic credential WebView","Controlled-destination parity with safer renderer boundary","SR-06|SR-07","P3-08|P3-09|P3-12|P3-16","Canonical owned URLs and offline policy"
20,"Push notifications",DEFERRED,confirmed,high,"No production notification capability in Phase 3; preserve disabled consent boundary","Reference capability deferred; production routing and backend unknown","SR-07","P3-16 verification; beyond Phase 3 implementation","Approved purpose sender backend consent and operations"
21,"Force update and Remote Config",INTENTIONALLY_DIFFERENT,refined,high,"Non-blocking safe defaults; governed hard gate only if later approved","Remote config capability retained; policy-less hard gate excluded","Grace rollback and critical-route access","P3-14|P3-16","Release owner and enforcement policy"
22,"Session expiry",ACCEPTED,materially_refined,high,"Central terminal reset without exposing customer-associated cart as anonymous","Accepted lifecycle parity with stricter cart ownership","SR-01|SR-07","P3-06|P3-09|P3-15","Detachment and quarantine behavior must pass"
23,"Analytics and crash reporting",DEFERRED,confirmed_and_refined,high,"Analytics absent; Crashlytics absent until explicit P3-16 decision","Reference telemetry intentionally not copied","SR-08","P3-16 decision; otherwise beyond Phase 3","Consent taxonomy retention deletion and accountable owner"
24,"Localization and remote branding",INTENTIONALLY_DIFFERENT,confirmed,high,"Turkish and English resources with approved local tokens and bounded owned remote content only","Localization parity; independent brand and bounded configuration","Pseudolocale content and asset provenance","P3-00 through P3-16","Brand kit supported markets locales and owned assets"
