id,feature,final_status,gurbakir_behavior,reference_behavior_or_difference,phase2_dependency,external_input_owner,implementation_slice,acceptance_evidence,release_consequence_if_incomplete
"01","Bootstrap and splash","ACCEPTED","Deterministic local-first startup resolves configuration session route and recoverable failure without a remote-bricked launch","Retains the reference startup outcome; route policy and visual expression are independent","Typed configuration navigation errors safe Firebase defaults","Project owner for final production identity and splash assets","P3-01|P3-14|P3-16","Startup route state and process-restoration tests; P3-00 screen and flow contracts","Release stops if startup can dead-end expose proof UI or depend on unavailable remote state"
"02","Onboarding","INTENTIONALLY_DIFFERENT","No carousel; use system app language and configured market by default; add a versioned minimal choice only when an owned market or language rule proves it necessary","Intentional difference from the persisted reference onboarding destination","Typed locale resources and non-secret DataStore boundary","Project owner and merchant for supported markets and selectable-language policy","P3-00|P3-01","First-launch flow review plus restoration and accessibility tests when the conditional screen exists","Release stops if pricing or language can be ambiguous; otherwise the screen remains absent"
"03","Home","ACCEPTED","Independently designed merchant-backed commerce entry using only owned Shopify data and approved content","Retains the reference discovery purpose without copying layout content or brand","Storefront gateway typed brand theme localization and error contracts","Project owner and merchant for section sources labels order and fallback","P3-01","Home loading partial empty offline retry and content-provenance tests","P3-01 and release stop if the merchant Home contract is not approved"
"04","Categories","ACCEPTED","Shopify collection taxonomy browse with typed routes and honest empty states","Accepted capability parity with independent information architecture","Storefront gateway typed routes shared product components","Merchant for taxonomy hierarchy names visibility and market mapping","P3-02","Category-to-list route contract taxonomy fixtures and UI state tests","Browse release stops if taxonomy is ambiguous or exposes unsupported collections"
"05","Product listing","ACCEPTED","Cursor-paginated listings expose only schema-supported sort and filter controls","Accepted capability parity; current Shopify schema and merchant policy govern controls","Apollo typed catalog operation pagination and error contracts","Merchant for supported sort filter and availability policy","P3-02|P3-15","Pagination cancellation deduplication filter sort offline and accessibility tests","Release stops for duplicate lost misleading or unsupported results"
"06","Search and history","INTENTIONALLY_DIFFERENT","Debounced search with device-local history limited to 10 unique normalized queries and 30 days; user can remove clear or disable it","Search purpose retained; local bounded retention intentionally replaces unowned remote behavior","Storefront search contract typed errors; Room boundary to be introduced in P3-03","Project owner owns the reversible retention default; engineering owns migration and clear behavior","P3-03|P3-15","Virtual-time search tests Room migration expiry uniqueness and SR-08 clear tests","Release stops if queries leak persist beyond policy or stale results win"
"07","Product detail","ACCEPTED","Explicit valid variant selection controls price media availability and later cart intent","Accepted capability parity without reference UI or generated-source copying","Typed catalog models variant identifiers media URL policy and error taxonomy","Merchant for content media related-product source and availability language","P3-04|P3-15","Variant-combination property tests mapper fixtures and Compose state tests","Release stops if an invalid unavailable or mispriced variant can be submitted"
"08","Wishlist","INTENTIONALLY_DIFFERENT","Complete account-independent wishlist stored only on this device with honest unavailable-item handling","Intentional difference from unverified reference remote sync","Room ownership boundary product identity and shared product cards","Project owner owns local-only promise; engineering owns migration and deletion","P3-05|P3-15","Repository idempotency Room migration rehydration offline and SR-08 tests","Release stops if local durability or clear behavior is unreliable or cross-device sync is implied"
"09","Cart","ACCEPTED","Complete cart uses Anonymous CustomerAssociated DetachPending and Quarantined ownership; no cart-note UI in Phase 3","Retains reference cart capability; Worker merge and note behavior are not copied","Proven Storefront cart gateway coordinator Keystore store typed errors and concurrency","Merchant owns price quantity and inventory messaging; engineering owns ownership transitions","P3-06|P3-07|P3-09|P3-15","State-machine concurrency invalid-cart mutation process-death and quarantine tests","Release stops for identity ambiguity data loss wrong totals or incomplete mutation recovery"
"10","Checkout","ACCEPTED","Refresh eligible cart then present official Checkout Kit; completion clears only the completed cart while cancel and failure retain it","Accepted user outcome; official SDK contract governs independent implementation","Proven Checkout Kit adapter coordinator host policy callbacks and device evidence","Release owner for production Shopify payment and checkout configuration","P3-07|P3-15|P3-16","Lifecycle callback process-death offsite-return and production-route exclusion tests","Release stops if completion can be guessed or test payment surfaces remain"
