screen_id,purpose,feature_groups,roadmap_slice,entry_points,exit_paths,navigation_arguments,authentication,state_holder,phase2_dependency,data_source,persistence,loading_state,empty_state,success_state,recoverable_error_state,terminal_error_state,offline_behavior,accessibility,localization_content,analytics_policy,reference_evidence_or_rationale,release_disposition
"STARTUP_GATE","Resolve local configuration locale session cart state and safe first destination without showing a diagnostic dashboard","01|02|21|22|24","P3-01|P3-14","Cold start|warm start|process recreation|allowlisted external callback","CONDITIONAL_SETUP when required|HOME|ACCOUNT callback recovery|ROUTE_RECOVERY","Optional allowlisted pending route only; no secret or domain object","Mixed; route resolution must not disclose signed-in state","StartupViewModel with immutable StartupUiState","Typed AppConfiguration|session and cart stores|typed routes|Remote Config safe defaults","Local configuration plus local session/cart presence; Remote Config never required","Only non-secret route/setup flags in DataStore; no token in SavedState","Bounded branded launch progress without network wait","Not applicable; a valid local destination always exists","Exactly one destination selected and back stack normalized","Retry local read or continue with safe defaults; invalid pending route goes to recovery","Fail closed to ROUTE_RECOVERY for corrupt protected state or invalid configuration","Startup remains usable; remote failure cannot block Home/legal/support","Single announcement after route resolution; avoid focus churn; respect reduced motion","TR baseline and EN alternate; no marketing copy","No Analytics or Crashlytics; redacted low-cardinality local diagnostics only","Reference destination FACT: SplashScreenDestination; independent local-first routing policy","Required; replaces FoundationHome startup and proof dashboard in P3-01"
"CONDITIONAL_SETUP","Collect only a market or language choice that cannot be inferred safely","02|24","P3-01","STARTUP_GATE only when an approved rule requires a choice","HOME|system app-language settings|ROUTE_RECOVERY","setupVersion; allowedMarketIds only when approved","Signed out or signed in","SetupViewModel","Typed locale and non-secret DataStore boundary","Approved static market/language configuration; never arbitrary Remote Config","Versioned non-secret DataStore preference","Load allowed options locally","No screen when no approved choice exists","Valid choice persisted and startup continues","Inline validation and retry persistence","Block continuation only when merchant rules prove a choice mandatory and config is invalid","Fully local after configuration is packaged","Radio-group semantics; 48dp targets; keyboard; 200 percent text","TR and EN complete; language and market explained separately","None","Reference destination FACT: OnboardingScreenDestination; intentional no-carousel difference","Conditional; absent from P3-01 unless the merchant input packet proves necessity"
"HOME","Primary discovery surface using approved owned Shopify content","03|24","P3-01","STARTUP_GATE|Home primary navigation|safe deep-link fallback","CATEGORIES|PRODUCT_LIST|PRODUCT_DETAIL|SEARCH|WISHLIST when implemented","None","No","HomeViewModel","Storefront gateway|theme|localization|typed errors","Owned Shopify catalog and approved merchant Home contract","No authoritative persistence; bounded rebuildable image/data cache only if approved","Skeletons preserving layout; independent section loading","Approved no-content state with Categories/Search action only when functional","Partial sections may render with honest missing-section treatment","Per-section retry; stale data labeled only under approved cache policy","Configuration/content-contract error shows support-safe recovery without fake merchandise","Show approved cached content or offline state; no mutation","Headings and traversal per section; decorative media hidden; content descriptions from merchant data","TR/EN section labels from merchant packet; long-title resilience","None; no raw navigation or product-view events","Reference destination FACT: HomeScreenDestination; discovery purpose retained with independent layout","Required for P3-01; blocked until merchant Home packet"
"CATEGORIES","Browse approved collection taxonomy","04|24","P3-02","Home section|Categories primary navigation|allowlisted deep link","PRODUCT_LIST|HOME","Optional parentCollectionId only if taxonomy approves nesting","No","CategoriesViewModel","Storefront gateway|typed routes|shared state components","Owned Shopify collections mapped by merchant taxonomy","No authoritative local store; optional rebuildable cache by market","Category skeleton list or grid","Explain no categories for current market; no dead cards","Accessible taxonomy with only visible approved collections","Retry failed page and preserve already loaded items","Invalid taxonomy configuration routes to safe empty/error with no guessed hierarchy","Approved cached taxonomy only; otherwise offline state","Collection cards expose names and roles; predictable focus after retry","TR/EN merchant names; no app-invented translations of merchant titles","None","Reference destination FACT: CategoryListScreenDestination","Required in P3-02"
"PRODUCT_LIST","List products for one approved collection or search result with pagination sort and filters","05|24","P3-02","CATEGORIES|HOME collection section|SEARCH result|allowlisted deep link","PRODUCT_DETAIL|FILTER_SORT|back","Exactly one of collectionId or searchQuery; optional approved sort/filter values","No","ProductListViewModel","Storefront gateway|typed routes|shared product card|error taxonomy","Owned Shopify Storefront catalog","In-memory paging; persisted cache only after explicit offline decision and market partition","Initial skeleton plus footer progress for next page","Differentiate no products from filtered-to-zero results","Stable deduplicated list with honest price/inventory availability","Retry current page without discarding previous valid items; remove unsupported filter","Invalid route or unsupported market/filter goes to ROUTE_RECOVERY","Previously approved page may show as stale only if cache policy exists; no offline mutation","Grid/list semantics; result count and filter changes announced; focus preserved","TR/EN app controls; merchant product text displayed as owned data","None","Reference destination FACT: ProductListScreenDestination with optional categoryId/searchKeyword; route model is independently narrowed","Required in P3-02"
"FILTER_SORT","Select only server/schema-supported filters and sort options","05|24","P3-02","PRODUCT_LIST action","Apply and return to PRODUCT_LIST|cancel and preserve prior values","Current supported filter/sort set supplied as screen state; not a public deep-link","No","Owned by ProductListViewModel; modal UI state only","Typed Storefront capabilities and product-list state","Current Storefront schema plus merchant policy","Saved state may hold non-sensitive selected keys; authoritative result remains remote","Local options render immediately","If no approved options exist the action is absent","Applied selection triggers a fresh cancellable query","Inline remove/reset unsupported or stale option","Close and remove action if capability contract is invalid","Local modal works; apply shows ProductList offline behavior","Modal heading; checkbox/radio state semantics; focus returns to trigger","TR/EN control labels; merchant facet labels from owned schema/content","None","Independent requirement; reference listing capability supports filters/sort but no layout is copied","Conditional complete modal in P3-02; absent if no supported controls"
"SEARCH","Enter query view bounded local history and navigate to results","06|24","P3-03","Search primary navigation|Home search action","PRODUCT_LIST for submitted query|PRODUCT_DETAIL via result|back","Optional initialQuery with strict length bound; no query in external logs","No","SearchViewModel","Storefront search/list contracts|typed errors|Room boundary","Owned Shopify search plus device-local history","Room only for 10 unique normalized queries with 30-day expiry and environment/market partition","Debounce indicator without blocking typing","Separate no history before query and no results after query","Latest query alone controls results/history; clear/remove/disable work immediately","Retry latest query; history operations remain local","Unsupported or invalid query shows validation without network request","History remains available; remote results show offline state","IME search action; focus and result announcements; avoid per-keystroke TalkBack chatter","TR/EN controls; merchant result text unchanged","None; queries never logged or sent to telemetry","Reference destination FACT: SearchScreenDestination; local bounded history is intentional difference","Required in P3-03"
"PRODUCT_DETAIL","Inspect one product select a valid variant and invoke wishlist or add-to-cart when those destinations exist","07|24","P3-04","PRODUCT_LIST|HOME|WISHLIST|allowlisted product deep link","MEDIA_VIEWER|PRODUCT_LIST/back|WISHLIST toggle|CART action only after P3-06","productId required; variantId optional and validated against product","No","ProductDetailViewModel","Typed product data|theme|media URL policy|future cart intent","Owned Shopify product and variant data","No authoritative product persistence; bounded selected variant in SavedState","Structured media/title/option skeleton","Product unavailable or removed with browse recovery","One valid explicit variant drives media price availability and actions","Retry fetch; recover from changed variant by requiring a new valid selection","Invalid product ID or permanently unavailable product offers safe browse exit","Approved stale descriptive data may display only with clear unavailable-to-buy state","Option groups expose selected/unavailable state; price changes announced; media descriptions","TR/EN app labels; merchant copy is not machine-invented; long copy reflows","None","Reference destination FACT: ProductDetailScreenDestination(productId required variantId optional)","Required in P3-04; add-to-cart remains absent until P3-06"
"MEDIA_VIEWER","Inspect approved product media at larger scale without text-in-image dependency","07|24","P3-04","PRODUCT_DETAIL media item","Return to PRODUCT_DETAIL at same item","productId and mediaIndex or stable mediaId; validated against loaded product","No","Owned by ProductDetailViewModel or a dedicated media state holder when zoom complexity justifies it","Product media model and URL policy","Owned Shopify product media only","No persistence beyond current media index in SavedState","Progressive image loading with non-blocking placeholder","No viewer action when no media exists","Zoom/pan where accessible and useful; page position preserved","Retry individual image; fallback description remains","Unsafe host or corrupt media omits item without crashing","Cached approved media may display; no false availability inference","Pager count; meaningful descriptions; controls keyboard/switch accessible; close target 48dp","Descriptions from owned content or concise product-derived fallback; no embedded UI text","None","Independent rationale; reference product media capability only","Required only when P3-04 design includes expanded media"
"WISHLIST","Show and manage the complete device-local shortlist","08|24","P3-05","Wishlist primary navigation|product/list toggle","PRODUCT_DETAIL|PRODUCT_LIST/back","None","No; deliberately account-independent","WishlistViewModel","Room repository|product identity|shared cards","Room wishlist identities plus Storefront rehydration","Room with stable product key timestamps and environment/market partition; preserve across logout","Local identities load first then remote product refresh","Explain saved-on-this-device behavior and browse action","Idempotent add/remove and honest unavailable-item rows","Retry product rehydration; local remove always works","Room corruption follows approved migration/fail-closed recovery without pretending sync","Local identities remain visible; stale details labeled and buying disabled","Toggle state/action announced; unavailable status not color-only","TR/EN local-only promise; merchant names preserved","None","Reference destination FACT: WishlistScreenDestination; remote sync intentionally excluded","Required in P3-05"
