id,candidate_name,reference_behavior,evidence_location,approved_requirement_mention,phase2_recommendation,recommended_gurbakir_behavior,rationale,platform_dependencies,account_checkout_dependencies,data_privacy_security,brand_content_input,release_priority,acceptance_criteria,failure_empty_offline_lifecycle_states,test_approach,irreducible_unknowns
1,"Bootstrap and splash","Splash, configuration, and startup routing","a consolidated historical preparation index row 1; a consolidated historical preparation index Bootstrap and splash","Phase 2 approves only the foundation startup shell","ACCEPT","Deterministic native startup state chooses an allowed typed destination after local configuration/session checks; no remote flag may brick startup","Every production app needs deterministic startup and this behavior is independently justified","Compose; Navigation Compose typed routes; local safe defaults","Session restoration affects destination; checkout is not involved","Do not log route inputs or session contents; remote failure must not block usable local shell","Approved splash mark, app name, colors, Turkish copy, accessibility description","foundation","Cold start reaches one deterministic destination; repeat launch is stable; unconfigured services are shown honestly","Missing config; offline; slow local restore; corrupt session; process death; dark mode; large text","Reducer/JVM tests; Compose cold-start/navigation tests; process-death instrumentation; accessibility scan","Final branded splash assets and owner-approved initial route"
2,"Onboarding","Persisted onboarding flow","a consolidated historical preparation index row 2; matrix CSV Onboarding","No approved Gürbakır onboarding requirement or content","NEEDS PRODUCT DECISION","If approved, a short accessible Compose flow with versioned non-secret completion state and skippable policy-defined steps","Reference presence does not prove product need and content/consent choices are owner decisions","Compose; DataStore only for non-secret completion/version","May lead to sign-in but must not require account unless approved","Do not bundle consent with marketing; no personal answers without a defined purpose","Approved onboarding copy, illustrations, legal/consent wording, skip policy","MVP","Owner approves goals/content; completion survives restart; version changes can re-show only approved pages","First install; upgrade; interrupted page; offline; state corruption; text scaling; back navigation","State-machine JVM tests; Compose UI/accessibility; upgrade migration instrumentation","Whether onboarding exists, required pages, and whether it is skippable"
3,"Home","Dedicated home query, merchandising sections, and remote branding","a consolidated historical preparation index row 3; matrix CSV Home","No approved Phase 3 layout; catalog read is approved only as Gate 4 proof","ACCEPT","Independently designed typed sections backed by Storefront operations, with merchant-driven content only through validated contracts","A commerce MVP needs a discoverable entry surface but must not copy reference layout or dynamic maps","Apollo Storefront client; Compose; image loader only when justified","Anonymous by default; account personalization and checkout are separate decisions","Validate URLs/content; no private customer data in merchandising telemetry","Approved Gürbakır design, section order, editorial copy, image policy","MVP","Typed query renders valid sections; null/empty sections omit safely; pagination/deep links work; all content is accessible","Empty catalog; partial GraphQL errors; stale cache; offline; image failure; refresh; process recreation","Apollo fixture/contract tests; repository tests; Compose empty/error/loading; accessibility and screenshot review","Exact home sections, personalization, merchant metafields, and editorial ownership"
4,"Categories","Category and collection navigation","a consolidated historical preparation index row 4; matrix CSV Categories","No approved taxonomy UI; typed navigation foundation is approved","ACCEPT","Storefront collection/category browse using stable IDs and typed routes; merchant taxonomy is source data, not hardcoded app structure","Catalog discovery is expected MVP behavior and can be independently implemented","Apollo Storefront; Navigation Compose typed routes","No account dependency; can lead to cart/product but not checkout directly","Untrusted merchant text/links remain data; avoid exposing internal IDs in analytics","Approved naming, ordering, icons only if truly owned","MVP","Collections load and navigate by stable ID; empty/hidden collections behave safely; back stack restores","No collections; deleted collection; pagination failure; offline cache; deep-link unknown ID","Contract/repository tests; navigation and Compose state tests; deep-link instrumentation","Merchant taxonomy, markets visibility, and whether curated categories differ from Shopify collections"
5,"Product listing","Collection lists with filters and sorting","a consolidated historical preparation index row 5; matrix CSV Product listing","No approved filter/sort specification; cursor proof belongs to Storefront gate","ACCEPT","Cursor-paginated typed product lists with merchant-supported filters/sorts and explicit retry that never duplicates or loses items","Core commerce behavior; prototype pagination was incomplete","Apollo Storefront; Compose lazy lists; cache policy","No account requirement; wishlist indicators depend on later decision","Bound query/filter inputs; avoid sensitive search telemetry; validate external media URLs","Grid/list density, card tokens, Turkish labels, merchandising badges","MVP","Initial and next page preserve order/cursors; supported sort/filter combinations are exposed; empty result is distinct from error","Initial empty; next-page error; cancellation; duplicate cursor; offline cache; price/variant missing; configuration change","Mapper/pagination JVM tests; MockWebServer/Apollo fixtures; Compose scroll/retry; process recreation","Approved filters, sorts, market rules, inventory messaging, and page-size policy"
6,"Search and history","Catalog search with persisted history","a consolidated historical preparation index row 6; matrix CSV Search and history","No approved history retention or analytics policy","INTENTIONALLY CHANGE","Debounced typed Storefront search; search history is local, bounded, user-clearable, and disabled until retention/consent is approved","Search is useful MVP behavior, but copying persistent history without policy creates privacy risk","Apollo Storefront; coroutines; optional DataStore/Room only after retention choice","No account requirement; optional cross-device history is rejected without an owned backend decision","Queries may reveal interests; never send raw terms to analytics by default; provide clear/delete","Search copy, suggestions policy, empty-state content","MVP","Cancellation prevents stale results; bounded history can be cleared; disabled history leaves no residue; results use typed models","Blank/short query; no result; rapid typing; offline; API error; history migration/corruption","Virtual-time debounce tests; repository contracts; persistence tests if approved; Compose keyboard/accessibility","Whether history exists, retention count/time, suggestions, typo tolerance, and analytics consent"
7,"Product detail","Options, variants, media, and related products","a consolidated historical preparation index row 7; matrix CSV Product detail","No approved detailed content/related-products behavior","ACCEPT","Explicit option selection resolves a valid purchasable variant; media and product content are independently designed and schema-typed","Required for a shoppable MVP; prototype auto-selection was unsafe","Apollo Storefront; Compose media; URL policy","Cart add is required; account not required; checkout follows cart","Never add wrong variant; sanitize/render merchant content safely; accessibility for variants/media","Product content hierarchy, size guides, media behavior, badges, related-section policy","MVP","Every option combination resolves deterministically or shows unavailable; selected variant drives price/media/cart ID; missing content degrades","No variants; unavailable combination; price changes; missing image; HTML content; network/offline; rotation/process death","Variant combinator JVM tests; schema fixtures; repository/cart integration; Compose semantics and large-text tests","Merchant option conventions, size guide source, related-product source, and inventory promise copy"
8,"Wishlist","Local identity plus apparent remote sync route","a consolidated historical preparation index row 8; matrix CSV Wishlist","No approved wishlist ownership/sync requirement","NEEDS PRODUCT DECISION","Choose local-only anonymous wishlist or authenticated cross-device sync through an explicitly owned supported backend; never imitate the unknown reference Worker","Sync changes architecture, privacy, account requirements, and backend ownership","Local persistence for local-only; owned backend/API for sync","Cross-device requires account/session; no checkout dependency","Product preference data; deletion/export and authz requirements for sync; conflict policy","Wishlist UI/icons/copy and sign-in prompts","post-MVP","Decision names source of truth; add/remove is idempotent; offline and merge behavior defined; deletion obligations pass","Signed-out/signed-in transition; conflict; item deleted; offline edits; backend unavailable; logout/account deletion","Repository contract/property tests; persistence migration; sync conflict tests; multi-device integration if approved","Local versus sync, backend owner/SLA, merge rules, and data-retention obligations"
9,"Cart","Complete cart lines, note, and buyer identity operations","a consolidated historical preparation index row 9; matrix CSV Cart","Gate 4 approves only minimal typed cart path for Checkout Kit proof","ACCEPT","Typed Storefront cart repository supports create/read/add/update/remove and explicit invalid/expired recovery; generic failures never replace a valid cart","Required foundation and MVP behavior; fixes destructive prototype retry","Apollo Storefront; coroutine cancellation; optional non-secret cart ID persistence","Buyer identity/authenticated checkout only after Customer Account proof; produces checkout URL","Cart may contain private attributes/notes; never log payloads or checkout URL; validate limits","Cart copy, note policy, line presentation, market/currency behavior","foundation","Mutations map userErrors/GraphQL/HTTP separately; valid cart survives transient errors; only explicit invalid/expired state permits replacement","Empty cart; stale line; inventory/price change; user error; transport timeout; expired cart; process death; offline","Apollo fixtures/MockWebServer; repository state machine; concurrency/cancellation; Compose cart states; device checkout handoff","Allowed cart attributes/notes, persistence duration, buyer identity contract, and market switching"
10,"Checkout","Embedded Checkout Kit lifecycle, callbacks, and preload","a consolidated historical preparation index row 10; matrix CSV Checkout; official Checkout Kit docs","Phase 2 explicitly approves narrow Checkout Kit proof","ACCEPT","Official stable Checkout Kit stays behind the project adapter; safe preload/present/events, restrictive external-link/permission policy, and explicit post-completion cart reset","This is a critical integration gate and official SDK owns payment UI/processing","Shopify Checkout Kit Android 3.5.4; ComponentActivity; Storefront cart checkoutUrl","Depends on valid cart; authenticated checkout depends on Customer Account guidance","No payment/order details, checkout URLs, SDK descriptions, Web Pixel payloads, or screenshots in telemetry; consent/offsite policy required","Checkout branding in Shopify, legal/privacy copy, supported payment/test method","foundation","Adapter tests pass; physical device shows valid checkout; cancel/failure/completion events are handled; Bogus/Test creates no real charge; external links are allowlisted","Invalid/expired URL; activity destroyed; preload stale; cancel; SDK/network error; offsite return; completed cart; process recreation","Pure mapping/policy tests; instrumentation; lifecycle tests; physical-device owned-store proof; one synthetic Bogus/Test transaction","Owned store access, test payment setup, authenticated checkout contract, offsite method, and physical device"
